,page_number,x0,x1,y0,y1,top,width,height,text,upright
0,1.0,58.2426,65.69605800000001,804.4541790000001,817.859679,24.03032099999996,7.453458000000005,13.40549999999996,1,1.0
1,1.0,187.8179,193.9621,805.1378752,817.4262752,24.463724800000023,6.144200000000012,12.28839999999991,L,1.0
2,1.0,193.9621,197.3782752,805.1378752,817.4262752,24.463724800000023,3.416175199999998,12.28839999999991,i,1.0
3,1.0,197.3782752,202.1584628,805.1378752,817.4262752,24.463724800000023,4.780187600000005,12.28839999999991,t,1.0
4,1.0,202.1584628,206.9386504,805.1378752,817.4262752,24.463724800000023,4.780187600000005,12.28839999999991,t,1.0
5,1.0,206.9386504,213.7710008,805.1378752,817.4262752,24.463724800000023,6.832350399999996,12.28839999999991,e,1.0
6,1.0,213.7710008,221.2792132,805.1378752,817.4262752,24.463724800000023,7.508212399999991,12.28839999999991,n,1.0
7,1.0,221.2792132,232.2036008,805.1378752,817.4262752,24.463724800000023,10.924387599999989,12.28839999999991,w,1.0
8,1.0,232.2036008,239.0359512,805.1378752,817.4262752,24.463724800000023,6.832350399999996,12.28839999999991,e,1.0
9,1.0,239.0359512,242.4521264,805.1378752,817.4262752,24.463724800000023,3.416175199999998,12.28839999999991,i,1.0
10,1.0,242.4521264,245.8683016,805.1378752,817.4262752,24.463724800000023,3.416175199999998,12.28839999999991,l,1.0
11,1.0,245.8683016,252.700652,805.1378752,817.4262752,24.463724800000023,6.832350399999996,12.28839999999991,e,1.0
12,1.0,252.700652,257.4808396,805.1378752,817.4262752,24.463724800000023,4.7801875999999766,12.28839999999991,r,1.0
13,1.0,257.4808396,260.8970148,805.1378752,817.4262752,24.463724800000023,3.416175199999998,12.28839999999991, ,1.0
14,1.0,260.8970148,264.989052,805.1378752,817.4262752,24.463724800000023,4.092037199999993,12.28839999999991,-,1.0
15,1.0,264.989052,268.4052272,805.1378752,817.4262752,24.463724800000023,3.416175199999998,12.28839999999991, ,1.0
16,1.0,268.4052272,275.9134396,805.1378752,817.4262752,24.463724800000023,7.508212399999991,12.28839999999991,B,1.0
17,1.0,275.9134396,282.74579,805.1378752,817.4262752,24.463724800000023,6.832350399999996,12.28839999999991,e,1.0
18,1.0,282.74579000000006,287.52597760000003,805.1378752,817.4262752,24.463724800000023,4.7801875999999766,12.28839999999991,r,1.0
19,1.0,287.52597760000003,292.3061652,805.1378752,817.4262752,24.463724800000023,4.7801875999999766,12.28839999999991,t,1.0
20,1.0,292.3061652,299.8143776,805.1378752,817.4262752,24.463724800000023,7.508212399999991,12.28839999999991,o,1.0
21,1.0,299.8143776,303.2305528,805.1378752,817.4262752,24.463724800000023,3.416175199999998,12.28839999999991,l,1.0
22,1.0,303.2305528,310.7387652,805.1378752,817.4262752,24.463724800000023,7.508212399999991,12.28839999999991,d,1.0
23,1.0,310.73876520000005,316.1948148,805.1378752,817.4262752,24.463724800000023,5.456049599999972,12.28839999999991,s,1.0
24,1.0,316.1948148,323.7030272,805.1378752,817.4262752,24.463724800000023,7.508212399999991,12.28839999999991,b,1.0
25,1.0,323.70302720000007,328.48321480000004,805.1378752,817.4262752,24.463724800000023,4.7801875999999766,12.28839999999991,r,1.0
